cod_cliente,primeiro_nome,ultimo_nome,email,tipo_cliente,data_inclusao,cpfcnpj,data_nascimento,endereco,cep
522,João Lucas,Lima,barbosamariana@example.org,PF,2016-11-05 13:26:00 UTC,740.963.251-80,1990-05-05,"Avenida Mariana Rezende, 42 Fernão Dias 25175-265 Ramos / DF",80317732
729,Benjamin,Lima,kaiquepeixoto@example.net,PF,2020-08-21 10:13:00 UTC,095.421.876-02,1956-08-05,"Avenida Luna Correia, 67 Outro 07065604 Correia / SP",77226042
887,Kevin,Lima,kamilly26@example.net,PF,2021-02-27 11:43:00 UTC,538.169.047-93,1950-07-09,"Passarela Silva, 4 Vila Nova Cachoeirinha 2ª Seção 92334096 Alves do Oeste / ES",12716-003
70,Enrico,Melo,pedro-henriqueviana@example.org,PF,2021-02-18 15:23:00 UTC,418.962.035-15,1988-11-08,"Esplanada Rezende, 82 Vila Minaslandia 86011416 Fernandes / SC",37988-526
226,Isabella,Melo,vramos@example.com,PF,2017-01-14 11:27:00 UTC,716.452.809-85,1952-10-01,"Viela Theo Ramos, 14 Paquetá 59350-231 Pereira da Serra / SC",16954952
239,Bernardo,Melo,maria-alice61@example.net,PF,2017-02-25 16:31:00 UTC,327.459.861-55,1979-04-26,"Fazenda Gomes, 81 Cidade Jardim Taquaril 81318-214 da Rocha do Galho / PE",51092202
265,Heitor,Melo,vitor-gabrielmonteiro@example.com,PF,2019-06-05 11:17:00 UTC,598.067.321-03,1989-10-25,"Vila Gonçalves, 11 Pousada Santo Antonio 46466-651 Ferreira / GO",96975888
366,Pedro,Melo,arthurvieira@example.com,PF,2014-06-06 15:19:00 UTC,809.461.527-30,1978-03-21,"Lago de Barros, 8 Sport Club 21887406 Monteiro das Flores / GO",73739-486
467,Gustavo Henrique,Melo,da-cunhabrenda@example.com,PF,2018-02-26 12:52:00 UTC,532.709.841-97,1999-10-12,"Colônia de Ribeiro, 720 Ademar Maldonado 84104-262 Pereira / ES",50832-820
602,Thomas,Melo,mda-rocha@example.net,PF,2018-10-24 13:07:00 UTC,549.671.082-02,1991-08-25,"Vila de Pereira, 48 Mantiqueira 16617426 Cardoso / BA",77360-182
691,Raquel,Melo,thiago84@example.net,PF,2020-07-15 16:46:00 UTC,874.351.602-53,1978-08-21,Sítio Enzo Fernandes Madre Gertrudes 07858527 da Cruz Verde / AP,51214338
783,Nicole,Melo,ericknogueira@example.com,PF,2015-09-21 11:35:00 UTC,602.143.987-22,1968-07-13,"Sítio Teixeira, 99 Conjunto Jatoba 48852-845 Correia de Goiás / PI",49990438
786,Luna,Melo,oliveiradavi@example.net,PF,2019-01-21 14:29:00 UTC,125.386.974-09,1959-05-16,"Morro Kaique Fogaça, 5 Barão Homem De Melo 2ª Seção 99410668 Fernandes / RN",84504002
792,Levi,Melo,da-cunhajoao-guilherme@example.net,PF,2018-12-08 12:54:00 UTC,061.947.285-58,1977-01-11,"Vereda Vieira, 835 Baleia 98810617 Oliveira da Prata / BA",63158375
811,Yuri,Melo,mouralivia@example.com,PF,2018-08-06 11:04:00 UTC,943.162.708-69,1972-11-13,"Estrada Nicole Moraes, 36 Vila Petropolis 83982453 Alves / TO",69025958
834,Luna,Melo,caldeiranicolas@example.com,PF,2015-03-25 14:02:00 UTC,416.287.395-09,1967-09-20,"Vila Fernandes, 242 Vila Satélite 62724113 Fernandes da Mata / RJ",05254-597
911,Daniel,Melo,nicole57@example.com,PF,2011-09-22 12:17:00 UTC,576.184.902-01,1984-03-23,"Vale Antônio Lima, 4 São João 47295-375 Nunes / PA",04065275
924,Melissa,Melo,samuelmonteiro@example.com,PF,2021-10-20 15:55:00 UTC,412.307.695-52,1988-07-08,Trecho Daniel Freitas Vila Dos Anjos 03780697 Nascimento / PB,47546-871
993,Beatriz,Melo,brendacaldeira@example.org,PF,2017-10-07 11:40:00 UTC,786.914.320-04,1998-03-16,"Parque Rodrigues, 104 Nova America 72291173 Peixoto / TO",88422-547
56,Maria Luiza,Alves,souzasophie@example.org,PF,2022-09-21 14:40:00 UTC,428.691.053-98,1992-09-08,"Loteamento Campos, 6 Dona Clara 75778-811 Pires das Flores / SP",87868-132
71,Luiza,Alves,sdias@example.com,PF,2013-12-14 13:59:00 UTC,578.962.410-30,1954-12-31,"Via Augusto Moura, 59 Vila Independencia 2ª Seção 01782369 Vieira Grande / AL",67750-393
92,Daniel,Alves,carvalhofernando@example.com,PF,2017-02-03 15:31:00 UTC,923.540.671-43,1969-11-22,"Alameda Maria Clara Lopes, 48 Alto Barroca 93067-803 Ramos da Serra / RJ",30314554
116,Isaac,Alves,fmoraes@example.com,PF,2014-10-17 13:19:00 UTC,783.290.516-68,1953-08-01,"Setor Silveira, 9 Esperança 54390-541 Cavalcanti / PB",75462082
289,Maria Alice,Alves,renanmoura@example.net,PF,2022-12-11 14:34:00 UTC,826.703.591-59,1983-02-14,Lago da Cunha São Francisco Das Chagas 39623597 da Cunha / MS,11965-789
364,Miguel,Alves,bcarvalho@example.net,PF,2013-09-07 14:06:00 UTC,806.751.439-93,1967-07-30,"Favela Mendes, 15 Cônego Pinheiro 1ª Seção 48858415 Ramos / PI",14157-016
381,Melissa,Alves,oliveiracecilia@example.net,PF,2016-10-21 15:50:00 UTC,753.481.029-97,1972-11-01,"Parque Lucca Farias, 16 Vila Madre Gertrudes 3ª Seção 09192-662 da Rosa de da Cruz / RO",26941177
421,Mirella,Alves,luna28@example.com,PF,2020-04-24 10:07:00 UTC,903.648.527-47,1970-11-09,"Loteamento Rodrigues, 869 Palmares 97692-838 da Cunha / AM",88078064
664,Clara,Alves,oliviasantos@example.org,PF,2017-11-12 15:21:00 UTC,421.603.795-06,1975-06-12,"Distrito Ferreira, 19 São Luiz 77702611 Nascimento do Norte / RS",02434042
788,Lavínia,Alves,diogoramos@example.org,PF,2021-06-11 11:11:00 UTC,742.059.863-00,1954-01-02,"Condomínio de Duarte, 4 Alta Tensão 2ª Seção 90644-133 Pereira / PA",25512578
829,Sarah,Alves,rauldas-neves@example.com,PF,2020-04-16 10:33:00 UTC,274.803.516-07,1946-09-06,"Distrito de da Mota, 41 Aeroporto 74948002 da Cunha / PI",98200059
847,Thiago,Alves,bda-rocha@example.com,PF,2017-10-23 12:25:00 UTC,539.186.704-57,1976-09-25,"Viaduto Laura Pinto, 5 Vila Santa Monica 1ª Seção 93180-322 da Rosa / SP",31500163
852,Isabelly,Alves,joao-lucas08@example.com,PF,2015-07-01 16:05:00 UTC,416.739.085-00,1983-10-20,"Trecho de Barbosa, 9 Lagoinha Leblon 56609-518 Ferreira / ES",18876-575
991,Luiz Miguel,Alves,luana66@example.com,PF,2019-02-14 13:36:00 UTC,587.609.124-30,1964-10-26,"Chácara de Moreira, 60 Olaria 22714-326 Ribeiro da Mata / AM",86294-895
90,João,Costa,nina62@example.com,PF,2014-05-15 13:06:00 UTC,926.057.138-30,1947-08-21,"Feira de Teixeira, 4 Laranjeiras 89122-999 Pires / SP",38071-009
233,Catarina,Costa,joao-felipecorreia@example.org,PF,2014-12-02 14:14:00 UTC,603.751.829-77,1961-12-03,"Passarela de da Conceição, 2 Centro 93490-179 Moraes de Oliveira / AL",38180255
356,Cecília,Costa,emilly14@example.org,PF,2014-01-13 11:30:00 UTC,092.813.567-59,1950-11-13,Lago de Jesus Esperança 91251916 da Cruz / SP,89813224
493,Laís,Costa,silveiralavinia@example.com,PF,2017-12-19 16:53:00 UTC,867.402.159-01,1992-05-08,Parque Moura Parque São José 91515-389 Nascimento / MG,98259-386
676,Maria Vitória,Costa,rochanina@example.org,PF,2016-04-25 15:44:00 UTC,182.954.037-88,1955-11-10,"Jardim da Rocha, 65 Minaslandia 48773387 Araújo / BA",67484257
890,Maysa,Costa,ida-rosa@example.org,PF,2013-12-11 14:23:00 UTC,286.903.175-03,2001-06-17,"Colônia Ferreira, 1 Suzana 76789911 Gomes da Praia / MT",07873-123
957,Beatriz,Costa,nascimentobruno@example.org,PF,2020-08-10 15:07:00 UTC,627.983.405-00,1974-10-21,"Travessa de Sales, 37 Jardim América 26138-341 da Luz / PA",56424-819
38,Augusto,Cunha,cda-cunha@example.net,PF,2021-08-23 12:15:00 UTC,619.284.305-89,1984-07-01,"Residencial de Vieira, 57 Conjunto Serra Verde 85249271 Rocha / MG",81473-142
55,Sophie,Cunha,oliveiravitor@example.com,PF,2016-11-10 14:25:00 UTC,521.934.708-04,1970-05-16,Passarela de Costela Senhor Dos Passos 66807-828 da Rocha / RJ,19744436
150,Pedro Lucas,Cunha,jesusjulia@example.com,PF,2021-11-04 11:27:00 UTC,385.417.629-55,2002-04-14,"Distrito de Cardoso, 66 Vila Inestan 46530-625 Costela / ES",74907782
211,João Miguel,Cunha,davi-lucas04@example.net,PF,2021-03-10 12:41:00 UTC,351.678.904-20,1942-10-30,"Praça de Campos, 98 São Salvador 91131699 Nunes / MT",07845-704
331,Vitória,Cunha,lopesemanuel@example.com,PF,2012-09-22 16:29:00 UTC,187.024.695-02,1967-01-15,Distrito de Gonçalves Inconfidência 55785823 da Mota de Moura / SP,11168371
452,Kevin,Cunha,dmonteiro@example.com,PF,2020-07-18 11:22:00 UTC,128.495.703-97,1954-12-27,Travessa de Cardoso Nossa Senhora Da Conceição 41836-383 Dias Alegre / SC,43803139
587,Mariana,Cunha,maria-eduarda57@example.org,PF,2019-09-06 15:59:00 UTC,903.251.768-68,1992-08-13,Campo Stella Ferreira Novo Ouro Preto 12789-557 Pires / PI,50946020
649,Clarice,Cunha,brenda34@example.net,PF,2016-04-11 13:35:00 UTC,631.528.049-89,1958-10-02,"Viela Thales Santos, 133 Vila Santa Monica 2ª Seção 08043-756 Almeida Paulista / MT",37183-556
663,João Pedro,Cunha,carlos-eduardoda-luz@example.org,PF,2020-07-21 14:21:00 UTC,068.235.197-03,1977-06-17,Via Ferreira Vila Dos Anjos 28261187 Castro / RN,03481410
720,Lara,Cunha,thomasbarbosa@example.com,PF,2021-03-23 10:56:00 UTC,780.629.134-22,1955-12-14,"Setor de Rodrigues, 46 Santa Margarida 46508-985 Campos de Goiás / ES",70396-535
741,Gustavo,Cunha,correiaemanuelly@example.org,PF,2012-03-03 14:17:00 UTC,237.604.598-38,1955-11-13,Favela Luiz Otávio Santos Tupi B 43588859 Rezende da Mata / SC,77732-400
780,Thiago,Cunha,carvalhonicolas@example.com,PF,2018-02-05 11:35:00 UTC,352.748.691-73,1981-04-11,"Avenida Gonçalves, 38 Ademar Maldonado 06852555 Ribeiro Alegre / PE",99956563
866,Brenda,Cunha,qcaldeira@example.net,PF,2019-06-22 13:36:00 UTC,936.475.821-82,1942-07-26,"Esplanada Levi Barbosa, 216 Vila São João Batista 50276-230 Silva / GO",43609-121
933,Leonardo,Cunha,aragaolorena@example.net,PF,2015-08-12 13:49:00 UTC,739.416.528-00,2003-11-20,"Avenida Cunha, 13 Flavio Marques Lisboa 36827006 Caldeira de Martins / ES",25715953
941,Otávio,Cunha,carvalhonicole@example.org,PF,2022-05-22 12:02:00 UTC,310.842.695-89,1963-02-07,"Viela Farias, 926 Heliopolis 61000-447 Barros Grande / SE",20775-963
68,Lorena,Gomes,nrezende@example.net,PF,2019-08-11 11:02:00 UTC,832.607.514-08,1955-10-09,"Rodovia Alexia Costela, 374 Vila Madre Gertrudes 4ª Seção 35410645 Melo / PA",13577256
79,Milena,Gomes,bsilva@example.com,PF,2022-12-03 10:51:00 UTC,893.726.041-78,1980-02-11,"Alameda Benício Sales, 68 São Sebastião 87879-290 da Rocha da Mata / PA",31297275
157,Emanuella,Gomes,antoniosilva@example.com,PF,2017-08-20 12:13:00 UTC,659.284.301-24,2006-05-29,Vale Santos Vila Mantiqueira 16535-555 Lopes / MT,45442696
195,Luiz Fernando,Gomes,vcastro@example.net,PF,2011-03-08 13:26:00 UTC,046.853.129-70,1967-11-28,"Largo de Sales, 95 Lindéia 03767449 Aragão / GO",13895327
369,João Lucas,Gomes,lribeiro@example.net,PF,2022-10-09 11:31:00 UTC,256.389.041-15,1965-04-29,"Chácara Cunha, 551 Serra 26207-436 Silveira / CE",27315-383
499,Helena,Gomes,fda-mota@example.org,PF,2022-11-07 11:37:00 UTC,503.742.189-60,2002-01-24,"Loteamento de Vieira, 36 Vila Nossa Senhora Do Rosário 99556-419 da Conceição do Oeste / SP",58899466
567,Bryan,Gomes,hrezende@example.com,PF,2011-05-16 10:17:00 UTC,619.520.487-02,1997-04-06,"Núcleo de Freitas, 378 Miramar 12606621 Correia / ES",34609558
609,Larissa,Gomes,ana-laura55@example.org,PF,2017-05-14 15:03:00 UTC,459.208.671-67,2006-01-18,"Lago de Gonçalves, 6 Piratininga 53005555 Moreira Grande / SP",92215-516
731,Felipe,Gomes,gcostela@example.net,PF,2017-07-21 11:57:00 UTC,971.548.302-04,1995-12-03,"Esplanada Nascimento, 27 Beira Linha 18256-269 Souza do Oeste / MS",85811670
964,Bianca,Gomes,da-rosamariana@example.com,PF,2021-06-24 14:15:00 UTC,465.891.370-48,1970-08-10,"Núcleo Lima, 184 Garças 64685-353 Gonçalves das Pedras / SP",71253-234
972,Daniel,Gomes,joao-felipe48@example.net,PF,2010-08-10 15:41:00 UTC,975.286.143-19,1991-10-24,"Lago de Sales, 131 Itatiaia 06318-414 Silveira / AC",42328-349
73,Milena,Jesus,xvieira@example.com,PF,2012-06-21 14:25:00 UTC,925.037.416-06,1988-09-12,"Parque Araújo, 352 Estoril 11290-320 Pinto da Serra / MA",74802-721
114,Rodrigo,Jesus,danielapinto@example.com,PF,2022-11-11 11:04:00 UTC,658.910.274-02,1949-03-21,"Esplanada de Lopes, 86 Santa Monica 48561977 da Cunha / RS",84406630
298,Nicolas,Jesus,ryansantos@example.org,PF,2012-04-21 15:53:00 UTC,509.487.213-32,2001-01-19,"Rodovia Ferreira, 21 Pindura Saia 42451-455 Barros da Serra / CE",04065-364
327,Maria Alice,Jesus,da-motaluiz-henrique@example.org,PF,2021-10-08 11:35:00 UTC,543.680.712-71,1951-02-26,Pátio Maria Clara Cavalcanti Beira Linha 75846700 Duarte / MS,32770-840
328,Benjamin,Jesus,davi-luccapinto@example.net,PF,2017-03-04 13:03:00 UTC,659.172.048-02,1971-10-11,"Estação da Cunha, 64 Vila Santo Antônio Barroquinha 42157-327 Teixeira de Farias / RS",10559-302
523,Gabrielly,Jesus,laurada-mata@example.net,PF,2013-03-18 10:44:00 UTC,490.281.576-11,1951-01-05,"Sítio de Moraes, 68 Nova Granada 53754-205 da Mata de Alves / RO",87182675
675,Camila,Jesus,barbosamaite@example.com,PF,2019-04-24 13:55:00 UTC,625.481.709-85,1963-08-25,"Esplanada Fernando da Costa, 7 Vila Santo Antônio 24496828 Freitas / PA",96168071
696,Luiza,Jesus,costarenan@example.com,PF,2021-12-24 13:02:00 UTC,471.685.903-75,1996-06-16,"Favela Ribeiro, 78 Delta 25034-385 Oliveira / AP",23037-823
822,Bárbara,Jesus,milenada-rocha@example.com,PF,2022-12-16 15:58:00 UTC,602.148.935-70,1952-07-29,Recanto Enzo Gabriel da Luz Vila São Francisco 39509-701 Melo / AM,76706-799
982,Beatriz,Jesus,fariasluiza@example.com,PF,2019-11-25 11:04:00 UTC,350.467.981-66,1949-09-08,"Vereda de Alves, 96 Palmeiras 95190-216 Freitas / PR",26839-985
62,Ana Vitória,Lopes,pdias@example.net,PF,2010-12-02 12:14:00 UTC,431.286.957-09,1957-02-18,"Campo João Felipe Nascimento, 2 São Bernardo 72648321 Pires Alegre / MG",56682892
152,Davi,Lopes,gcosta@example.com,PF,2017-07-01 14:56:00 UTC,104.258.973-97,2007-02-26,"Quadra Pereira, 23 Cardoso 27987-882 Castro / AC",23590-188
291,Carlos Eduardo,Lopes,otavio24@example.org,PF,2012-02-26 12:34:00 UTC,852.193.064-05,1991-07-06,"Alameda Isabel Silva, 31 Vila Havaí 11364-247 Nunes / DF",68301-753
350,Isis,Lopes,diogoaraujo@example.com,PF,2018-11-15 15:42:00 UTC,240.968.375-47,1961-01-08,"Lagoa Benjamin Correia, 736 Suzana 65158388 da Costa das Flores / PR",07473442
427,Gabriel,Lopes,pazevedo@example.com,PF,2019-02-18 14:37:00 UTC,263.140.789-03,1955-12-09,Lago Maria Julia Rodrigues Taquaril 53270892 Lopes Verde / CE,44978329
439,Isabella,Lopes,igorcampos@example.org,PF,2019-05-18 11:42:00 UTC,570.462.381-62,1966-10-23,"Rodovia de Novaes, 89 Boa Esperança 76062-783 Costa / AM",30513678
450,Thales,Lopes,uda-mata@example.com,PF,2019-04-01 12:40:00 UTC,503.681.924-15,1964-02-24,"Esplanada Sales, 2 Califórnia 01064869 Melo / SE",88390892
573,Cecília,Lopes,joao19@example.com,PF,2021-05-11 15:05:00 UTC,149.035.782-32,1991-11-18,"Campo Lucas Costa, 309 Universitário 27503-697 Cardoso de da Rosa / AM",55776517
604,Gabriela,Lopes,aliciasilva@example.com,PF,2022-03-20 16:32:00 UTC,761.045.329-34,1986-09-01,"Vereda Oliveira, 56 Santa Rita De Cássia 72625-217 Pinto / SC",44743727
605,Sophia,Lopes,gabrielcampos@example.net,PF,2022-05-02 16:57:00 UTC,518.402.937-05,1986-12-09,"Alameda Almeida, 8 Santa Isabel 62289-773 Freitas dos Dourados / RO",80918276
670,Marina,Lopes,goncalvesclara@example.com,PF,2022-10-25 14:11:00 UTC,926.153.874-64,1979-03-17,"Aeroporto Fogaça, 6 Outro 84244907 das Neves / PR",21092961
825,Gustavo Henrique,Lopes,beatriz24@example.net,PF,2022-04-28 14:01:00 UTC,953.672.148-19,1990-03-11,"Rua de Alves, 21 Gameleira 20078768 Viana Paulista / CE",84143888
864,Benício,Lopes,leandrodias@example.org,PF,2017-04-28 15:30:00 UTC,845.971.236-28,1998-07-03,"Feira de Monteiro, 67 Vila Mangueiras 92992-146 Santos da Praia / SP",29563-668
99,Heloísa,Moura,manuela79@example.net,PF,2017-10-14 12:58:00 UTC,032.516.987-02,1945-02-18,"Vale de Pinto, 77 Alpes 83294-846 Ramos / RJ",64841594
388,Heloísa,Moura,novaesluiz-fernando@example.org,PF,2017-02-14 12:43:00 UTC,340.875.619-84,1944-05-14,"Praça Yuri Martins, 52 Itapoa 48374113 Azevedo / AM",06447-430
431,João,Moura,da-matabreno@example.org,PF,2013-11-20 11:12:00 UTC,415.702.836-80,1994-07-06,Viela Giovanna Cardoso Castanheira 31235258 Ferreira / TO,20931894
501,Evelyn,Moura,heitorgoncalves@example.org,PF,2018-06-20 14:51:00 UTC,501.986.743-84,2005-05-04,"Campo Maria Eduarda Peixoto, 536 Europa 43797481 da Mata do Galho / SP",29074-901
556,Melissa,Moura,da-luzlorena@example.org,PF,2020-06-08 14:51:00 UTC,950.863.724-29,1947-03-27,"Distrito Gabriel Cavalcanti, 48 Ouro Preto 68992416 Monteiro do Norte / BA",42839110
575,Bruno,Moura,theo66@example.com,PF,2015-07-27 11:15:00 UTC,619.478.203-03,2001-10-26,"Travessa Ferreira, 96 Jatobá 98474439 Ferreira / TO",39617502
653,Maria Clara,Moura,ryan75@example.com,PF,2016-06-16 14:20:00 UTC,792.361.480-69,1985-04-03,Praia de Barbosa Bela Vitoria 48748186 Pereira do Oeste / SC,43287847
706,Juan,Moura,maria-fernanda15@example.org,PF,2019-01-10 15:36:00 UTC,754.391.820-04,2000-04-24,"Jardim Caroline Teixeira, 46 Goiania 56851205 da Mata / MA",91580-802
796,Benício,Moura,emillyfogaca@example.org,PF,2019-11-08 15:59:00 UTC,748.206.193-22,1947-04-26,"Passarela Mendes, 34 Lajedo 43858130 Porto / RS",39582-953
946,Brenda,Moura,levi65@example.org,PF,2016-03-05 10:07:00 UTC,284.179.053-32,1977-02-19,"Feira de da Cruz, 282 Esplanada 65178537 Alves do Norte / TO",48090-423
990,Igor,Moura,duartesabrina@example.net,PF,2020-01-23 16:28:00 UTC,372.954.608-29,1993-10-22,"Lago Novaes, 24 Boa União 1ª Seção 74015-731 Cardoso de Moura / MS",92666276
57,Luna,Nunes,gustavo12@example.org,PF,2017-05-04 16:51:00 UTC,618.429.573-09,1969-09-02,"Vale de Rezende, 953 Ápia 55803-917 Moura / PA",80881095
254,Ana Carolina,Nunes,mcostela@example.net,PF,2012-10-24 13:48:00 UTC,612.835.409-24,1952-12-22,"Recanto de da Luz, 9 Santa Sofia 78694-248 Nogueira do Sul / MA",98430781
303,Emilly,Nunes,antoniocavalcanti@example.org,PF,2017-04-11 13:13:00 UTC,310.924.875-14,1982-11-03,"Trevo Gabriela Porto, 67 Colégio Batista 35807-329 Castro da Prata / AL",14585816
457,Camila,Nunes,pietra44@example.com,PF,2017-04-14 11:13:00 UTC,391.540.862-05,1979-04-30,"Estação Azevedo, 75 Vila Da Luz 40014970 Cardoso / CE",47534-613
515,Ana Laura,Nunes,martinsdiego@example.com,PF,2014-04-17 15:32:00 UTC,457.206.891-76,2000-07-10,"Residencial Kamilly Lima, 49 São José 32763-452 Costela / AL",81853963
616,Lucca,Nunes,fernandateixeira@example.org,PF,2017-08-04 10:47:00 UTC,218.695.730-21,1969-07-18,"Lagoa de Pereira, 76 Xangri-Lá 73656217 Martins dos Dourados / AP",06759-880
638,Ana Carolina,Nunes,maria-sophia30@example.org,PF,2018-07-05 11:41:00 UTC,372.598.104-32,1979-01-21,"Via Santos, 76 Mantiqueira 45911-781 Campos do Galho / RS",93769-315
717,Renan,Nunes,gpeixoto@example.net,PF,2015-02-21 12:48:00 UTC,349.281.567-73,1973-09-19,Jardim de da Rocha Conjunto Capitão Eduardo 14991503 Castro / RR,06635-669
836,Emanuelly,Nunes,vitor-gabriel68@example.com,PF,2022-08-23 11:20:00 UTC,752.986.041-02,1949-12-01,"Trecho de Barros, 13 Frei Leopoldo 70568448 da Costa / TO",30163-306
871,Lucca,Nunes,alice24@example.org,PF,2022-08-22 14:00:00 UTC,159.034.268-24,1984-08-19,"Núcleo Guilherme Porto, 2 Varzea Da Palma 25918-822 Rodrigues / AP",05487-000
879,Anthony,Nunes,barbarajesus@example.org,PF,2013-07-12 10:44:00 UTC,291.463.850-70,1962-08-03,Praça de Alves Santo André 10331-058 Costa / DF,15103-868
917,Theo,Nunes,diogofernandes@example.net,PF,2016-05-18 11:07:00 UTC,702.418.965-76,1947-12-13,"Distrito de da Luz, 88 Cabana Do Pai Tomás 27391181 da Rosa / MS",15799-330
42,Alexandre,Pinto,vitor-hugobarbosa@example.net,PF,2013-04-12 12:10:00 UTC,058.623.179-02,1959-06-09,"Ladeira Araújo, 39 Minaslandia 95368818 Ribeiro / AM",72785-264
117,Igor,Pinto,noahteixeira@example.net,PF,2022-06-22 10:15:00 UTC,039.452.618-05,1961-04-18,"Campo Pires, 311 Conjunto Jatoba 63845-548 Silveira / SE",61967117
261,Maria Luiza,Pinto,maria-luiza75@example.net,PF,2015-09-20 12:35:00 UTC,580.469.173-20,1953-12-30,"Avenida Nunes, 47 Vila Ipiranga 66706366 Rodrigues / ES",11151018
266,Nicolas,Pinto,danielribeiro@example.net,PF,2016-09-15 11:01:00 UTC,472.185.936-82,1994-10-06,"Passarela de da Costa, 11 Betânia 12740926 Cardoso / TO",49973-191
292,Agatha,Pinto,carvalhovinicius@example.net,PF,2015-10-10 12:03:00 UTC,835.916.047-39,1985-04-23,"Feira Elisa da Costa, 716  Jonas Veiga 78834-553 Moraes / RN",14310685
383,Calebe,Pinto,danielada-paz@example.org,PF,2017-01-24 13:00:00 UTC,930.854.627-83,1956-01-09,"Condomínio de Moura, 56 São Gonçalo 00106888 Gonçalves / RS",93285-302
396,Maria,Pinto,luiz-felipeduarte@example.com,PF,2021-09-24 11:11:00 UTC,172.863.049-50,1972-09-03,"Rodovia Sales, 1 Solimoes 57858-848 Lopes / PI",39842-347
580,Cecília,Pinto,rafaelnunes@example.net,PF,2014-05-04 13:13:00 UTC,502.837.146-62,1946-05-11,Travessa de Dias Guarani 97610874 Rocha / ES,35366-296
719,Daniel,Pinto,gabrielcunha@example.com,PF,2016-08-16 13:16:00 UTC,837.162.059-40,2001-05-23,"Chácara de Ribeiro, 38 Funcionários 23426864 da Cruz de Melo / RJ",65540-758
805,Lara,Pinto,brunanunes@example.net,PF,2011-05-08 14:35:00 UTC,231.608.745-08,1953-06-30,Loteamento Augusto Cardoso Bom Jesus 80633-996 Rezende do Campo / SE,37512880
966,Carlos Eduardo,Pinto,baraujo@example.net,PF,2013-11-05 15:33:00 UTC,813.064.752-44,1943-12-23,"Quadra Gabrielly Moreira, 2 Vila Maria 33753217 Gomes de Minas / SE",78125-333
