cod_colaborador,primeiro_nome,ultimo_nome,email,cpf,data_nascimento,endereco,cep
37,João Lucas,Santos,araujoana-vitoria@example.net,813.769.540-01,1981-07-04,Condomínio Araújo Vera Cruz 78170-346 da Paz da Serra / SE,75795-729
24,Vitória,Vieira,pedro-henrique56@example.org,572.340.961-16,1989-06-13,"Campo Bruno Melo, 3 São Jorge 1ª Seção 04133-564 Araújo de Pires / PE",92847600
44,Bruno,da Paz,wmoura@example.org,534.062.971-61,1997-10-30,"Alameda de Aragão, 5 Monte Azul 28055-168 Jesus / SC",64363-566
30,Arthur,Almeida,joaquim97@example.org,057.264.198-20,1980-01-16,"Travessa Vitor Gabriel Silveira, 20 Granja Werneck 96535821 das Neves da Mata / AC",69196806
90,Cauê,Almeida,wcampos@example.org,176.084.239-78,1993-12-03,"Vale de Costa, 62 Acaiaca 71168-130 Gonçalves da Praia / MG",61301741
20,Alice,Aragão,pedro-henrique82@example.com,495.278.610-20,1964-09-19,"Núcleo Emanuella Jesus, 621 Vila Jardim Montanhes 66803663 Pires do Campo / RR",23821831
74,Laís,Aragão,stephanypeixoto@example.net,027.619.358-02,1991-11-10,Distrito Pinto Liberdade 55152-938 Nascimento / PA,28501-411
29,Juan,Barbosa,cavalcantithomas@example.org,403.527.198-50,1967-10-09,"Favela de Cunha, 84 Jardim América 28360-153 da Costa do Campo / RJ",42832-180
83,Julia,Barbosa,da-luzcarolina@example.com,149.853.026-51,1993-11-04,"Esplanada de da Conceição, 52 Satelite 42238-305 Cavalcanti / DF",41497222
71,Gabriela,Cardoso,arthur02@example.net,385.049.162-51,1967-07-13,"Colônia Thomas Viana, 918 Marajó 70771-248 Duarte / RJ",08566439
89,Camila,Cardoso,silveiradaniela@example.org,461.203.589-51,1965-10-21,"Rodovia de Nogueira, 37 União 95858-378 das Neves / AM",65408-812
97,Nicolas,Cardoso,costajoao-miguel@example.net,897.605.341-93,1969-04-22,"Vereda Freitas, 46 Minas Brasil 80891-631 da Mata / CE",21980-775
21,Rafaela,Correia,vitor-hugosales@example.org,390.752.168-40,1973-03-24,"Chácara de Barbosa, 29 Engenho Nogueira 03345703 Cunha do Oeste / SP",03927-555
33,Elisa,Correia,leandro34@example.net,965.832.147-09,1993-02-23,"Morro de Souza, 84 Distrito Industrial Do Jatoba 67203-288 da Mota / AP",50769-513
47,Maitê,Correia,carlos-eduardo92@example.com,031.248.796-78,1978-10-25,"Lagoa de da Mata, 20 Silveira 49023-064 Rocha do Sul / PE",94709-044
6,Clarice,Costela,lrezende@example.org,264.875.013-44,1977-02-06,"Parque de Silveira, 66 Vila Da Luz 09881-664 Jesus / MS",12204328
99,Fernando,Costela,osilveira@example.net,492.758.103-97,1963-11-24,"Praça de Duarte, 5 Santa Rosa 84418424 Cardoso de Carvalho / RO",15164977
23,Elisa,Fogaça,qjesus@example.net,579.816.234-64,1988-08-16,"Campo João Barros, 99 Providencia 47135-118 Melo de Lima / ES",12605284
96,Gustavo,Martins,emilly44@example.com,790.245.683-74,1995-09-02,"Largo de das Neves, 1 Nova Esperança 60391950 Monteiro de da Rocha / CE",97215561
11,Camila,Moreira,enzo-gabrielduarte@example.com,263.589.174-55,1970-03-30,"Lago Evelyn Teixeira, 7 Pantanal 68026-096 Carvalho / SP",92857-785
7,Letícia,Peixoto,igornovaes@example.net,396.071.582-02,1994-09-10,"Ladeira da Costa, 86 Conjunto Bonsucesso 59864-562 Porto de Barros / ES",92465328
9,Diego,Peixoto,valentinada-rocha@example.net,367.528.901-02,1969-04-01,"Sítio Maria Eduarda Pires, 8 Antonio Ribeiro De Abreu 1ª Seção 50991-334 Nogueira da Prata / BA",77896-815
40,Bryan,Peixoto,kgomes@example.com,047.931.256-70,1975-08-22,"Rodovia Leonardo da Cunha, 135 Ventosa 29667758 Moreira do Norte / AP",79262-228
52,Theo,Peixoto,ncosta@example.net,578.310.962-21,1991-10-10,"Fazenda Peixoto, 68 Marieta 3ª Seção 99059-719 Porto / SE",47431-701
2,Clarice,Ribeiro,noahcastro@example.org,091.367.842-22,1993-11-10,"Recanto Nogueira, 3 Xangri-Lá 38163250 Vieira de Mendes / RN",05165-716
5,Emanuella,Ribeiro,paulo12@example.org,714.695.380-75,1974-06-01,"Parque Lima, 3 Europa 70881-379 Cunha / RS",22588-498
1,Lorena,da Mata,luiz-felipefarias@example.org,843.201.579-23,1996-01-31,"Vereda da Rocha, 240 Vila Aeroporto 10668-659 Caldeira / MT",69097997
79,Pietro,da Mata,luiza18@example.net,241.395.068-06,1973-04-24,Passarela de Peixoto Distrito Industrial Do Jatoba 34288-743 da Mata Paulista / AM,04555518
48,Pietra,da Mota,ianviana@example.net,452.389.017-04,1978-11-16,Trevo Bruno Azevedo Engenho Nogueira 17313-814 Porto de Goiás / RN,71636-333
55,Ana Sophia,da Mota,pedro-henrique85@example.com,205.719.486-85,1997-05-16,"Conjunto de Nascimento, 138 Marçola 26018227 Viana / RO",79292091
77,Sophie,da Mota,livia08@example.net,672.598.143-73,1997-04-13,"Condomínio Isabelly Cunha, 30 Prado 78943472 Rezende / PR",53778703
8,Vitor Gabriel,Caldeira,csilva@example.net,853.624.091-15,1973-07-11,"Jardim da Luz, 96 Rio Branco 42420423 da Mata / MT",66925-534
49,Pietra,Caldeira,gustavo-henriquecastro@example.com,725.083.916-03,1977-08-06,"Travessa Laura Monteiro, 7 Grota 92672446 Porto / AL",36084-897
61,Davi Lucca,Carvalho,vcavalcanti@example.net,526.984.013-89,1963-04-27,Recanto Nina da Costa Vila Santa Monica 1ª Seção 23645052 Castro de Fernandes / MA,03745319
58,Ana Julia,Ferreira,lorena19@example.com,945.218.603-89,1994-02-22,"Vale Rezende, 4 São Geraldo 84460438 da Conceição de Sales / TO",33395-564
75,Maria Fernanda,Ferreira,vitor-hugoribeiro@example.net,283.076.541-90,1978-07-13,"Ladeira de Nascimento, 359 Salgado Filho 60868-929 da Rosa / CE",01114-589
78,João Felipe,Ferreira,fernando53@example.org,369.428.710-87,1976-09-12,"Favela Barros, 28 Nazare 98329-395 Caldeira do Norte / GO",83982-409
51,Pedro Lucas,Silveira,kda-cunha@example.com,823.456.790-00,1970-12-24,"Trecho de Duarte, 903 Leticia 22951015 Nascimento / RR",87312248
93,Yuri,Silveira,barbarapereira@example.net,395.814.270-23,1980-09-09,"Campo de Silveira, 36 Bernadete 75409639 Barbosa / RN",48093646
87,Luna,Teixeira,samuel34@example.org,403.762.985-29,1998-04-06,"Viaduto Cunha, 3 Minas Brasil 94652281 Nascimento do Oeste / SC",53544065
73,Lucas Gabriel,da Costa,sophie99@example.net,749.536.012-70,1977-03-08,"Conjunto Melo, 64 Vila Nova Gameleira 3ª Seção 99419458 Duarte Alegre / AC",80265890
34,Daniela,Fernandes,rezendemarcela@example.org,627.401.395-43,1996-07-22,"Feira de Melo, 95 Bom Jesus 02499-885 Jesus / PE",73390-636
59,Eloah,Fernandes,ida-costa@example.org,486.321.970-96,1987-09-10,Recanto Duarte Vila Mangueiras 08038-110 Araújo / RO,73404-769
60,Sabrina,Fernandes,pedro82@example.net,643.508.219-70,1993-09-18,"Conjunto Sofia Azevedo, 44 Ipe 31209677 Costela de Araújo / MA",24300799
15,Joana,Rodrigues,erodrigues@example.net,480.756.921-01,1968-05-21,"Esplanada de Almeida, 720 Manacas 89334474 Cardoso de Cunha / MT",92472266
66,Lívia,Rodrigues,estherdias@example.com,953.124.067-16,1992-02-27,"Praça Novaes, 93 Sion 55659988 Souza dos Dourados / SP",73034259
12,Ana Lívia,das Neves,milena37@example.net,182.045.369-33,1986-09-23,"Vale Marcos Vinicius Duarte, 302 Vila Paris 03560827 Moura / PR",12951-292
70,Paulo,Cavalcanti,silveiraalicia@example.net,805.124.379-04,1966-08-18,"Rodovia Igor Moura, 41 Atila De Paiva 22036-616 Pereira / SC",79567620
95,Juliana,Cavalcanti,gomesmanuela@example.org,309.764.251-06,1982-05-18,Trevo de Duarte Nossa Senhora Do Rosário 41440886 Rezende / MS,52427-851
94,Melissa,Gonçalves,caldeirasamuel@example.com,825.670.139-03,1971-01-09,"Largo de Pinto, 96 Vila Independencia 2ª Seção 38053880 da Mota do Amparo / TO",66939-843
28,Alexandre,Nascimento,olivia97@example.org,719.360.824-03,1992-01-12,"Aeroporto Maria Cecília Rocha, 39 Serra Do Curral 08025-854 Cardoso da Praia / MA",42178150
80,Clarice,Nascimento,lorena74@example.org,956.104.283-51,1995-12-01,"Rua de da Mota, 7 Vila Mantiqueira 17429735 Jesus / SC",40016475
27,Marcela,da Conceição,mcosta@example.com,139.467.025-70,1963-05-14,"Avenida de Campos, 513 Tres Marias 67624232 Correia / AM",66423556
35,Ryan,da Conceição,giovannacavalcanti@example.net,342.506.918-70,1989-11-03,"Estação de Rezende, 33 Vila Betânia 65202-821 Silva / PI",59741896
